building_id,site_id,sqm,primaryspaceusage,yearbuilt,region,country
Panther_education_Teofila,Panther,8723.3,Education,1999,"Orlando, Florida",United States of America
Panther_education_Ivan,Panther,5751.1,Education,2001,"Orlando, Florida",United States of America
Panther_office_Shauna,Panther,4495.8,Office,2005,"Orlando, Florida",United States of America
Panther_lodging_Hattie,Panther,3594.0,Lodging/residential,2002,"Orlando, Florida",United States of America
Panther_lodging_Jana,Panther,3969.8,Lodging/residential,2002,"Orlando, Florida",United States of America
Panther_lodging_Teresita,Panther,3866.3,Lodging/residential,2002,"Orlando, Florida",United States of America
Panther_lodging_Cornelia,Panther,4935.9,Lodging/residential,2002,"Orlando, Florida",United States of America
Panther_lodging_Tracie,Panther,4935.9,Lodging/residential,2002,"Orlando, Florida",United States of America
Panther_office_Bryce,Panther,620.1,Office,1998,"Orlando, Florida",United States of America
Panther_office_Lois,Panther,1186.3,Office,2013,"Orlando, Florida",United States of America
Panther_office_Taryn,Panther,6003.3,Office,1969,"Orlando, Florida",United States of America
Panther_assembly_David,Panther,2503.2,Entertainment/public assembly,2001,"Orlando, Florida",United States of America
Panther_office_Kristen,Panther,8719.9,Office,1968,"Orlando, Florida",United States of America
Panther_other_Lucina,Panther,21043.1,Other,1968,"Orlando, Florida",United States of America
Panther_retail_Kristina,Panther,5487.9,Retail,1980,"Orlando, Florida",United States of America
Panther_lodging_Heather,Panther,1070.1,Lodging/residential,1991,"Orlando, Florida",United States of America
Panther_lodging_Otis,Panther,461.6,Lodging/residential,1989,"Orlando, Florida",United States of America
Panther_lodging_Jacquelyn,Panther,1290.4,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_lodging_Juliet,Panther,557.4,Lodging/residential,1993,"Orlando, Florida",United States of America
Panther_retail_Rachel,Panther,26.3,Retail,1985,"Orlando, Florida",United States of America
Panther_retail_Gilbert,Panther,1421.8,Retail,2016,"Orlando, Florida",United States of America
Panther_retail_Lester,Panther,840.3,Retail,2016,"Orlando, Florida",United States of America
Panther_retail_Felix,Panther,2941.9,Retail,2008,"Orlando, Florida",United States of America
Panther_other_Tyrone,Panther,889.0,Other,1989,"Orlando, Florida",United States of America
Panther_lodging_Carroll,Panther,1361.2,Lodging/residential,1994,"Orlando, Florida",United States of America
Panther_lodging_Paulette,Panther,351.9,Lodging/residential,1994,"Orlando, Florida",United States of America
Panther_lodging_Alyssa,Panther,1361.2,Lodging/residential,1994,"Orlando, Florida",United States of America
Panther_other_Iva,Panther,255.5,Other,2011,"Orlando, Florida",United States of America
Panther_lodging_Myrtle,Panther,2272.0,Lodging/residential,1968,"Orlando, Florida",United States of America
Panther_other_Luis,Panther,494.8,Other,2005,"Orlando, Florida",United States of America
Panther_other_Bettie,Panther,436.5,Other,1981,"Orlando, Florida",United States of America
Panther_parking_Asia,Panther,36012.7,Parking,2014,"Orlando, Florida",United States of America
Panther_education_Edna,Panther,9896.3,Education,1970,"Orlando, Florida",United States of America
Panther_office_Otto,Panther,8151.5,Office,1971,"Orlando, Florida",United States of America
Panther_education_Violet,Panther,730.9,Education,2011,"Orlando, Florida",United States of America
Panther_office_Christian,Panther,1553.9,Office,2011,"Orlando, Florida",United States of America
Panther_lodging_Alita,Panther,5582.4,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_lodging_Edison,Panther,6072.0,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_lodging_Sonja,Panther,7746.2,Lodging/residential,2013,"Orlando, Florida",United States of America
Panther_assembly_Pamella,Panther,7556.5,Entertainment/public assembly,2005,"Orlando, Florida",United States of America
Panther_education_Neal,Panther,7578.7,Education,1997,"Orlando, Florida",United States of America
Panther_lodging_Blaine,Panther,3594.0,Lodging/residential,2001,"Orlando, Florida",United States of America
Panther_lodging_Floyd,Panther,3969.8,Lodging/residential,2001,"Orlando, Florida",United States of America
Panther_lodging_Jorge,Panther,3866.3,Lodging/residential,2001,"Orlando, Florida",United States of America
Panther_lodging_Edmond,Panther,4935.9,Lodging/residential,2001,"Orlando, Florida",United States of America
Panther_lodging_Kaitlin,Panther,4935.9,Lodging/residential,2001,"Orlando, Florida",United States of America
Panther_office_Gino,Panther,78.0,Office,2000,"Orlando, Florida",United States of America
Panther_lodging_Fausto,Panther,3459.8,Lodging/residential,1981,"Orlando, Florida",United States of America
Panther_lodging_Janice,Panther,2272.0,Lodging/residential,1968,"Orlando, Florida",United States of America
Panther_parking_Charlene,Panther,45284.0,Parking,2007,"Orlando, Florida",United States of America
Panther_parking_Jody,Panther,36012.7,Parking,2000,"Orlando, Florida",United States of America
Panther_parking_Mellissa,Panther,36012.7,Parking,2007,"Orlando, Florida",United States of America
Panther_parking_Clarence,Panther,37179.8,Parking,2011,"Orlando, Florida",United States of America
Panther_parking_Stanley,Panther,36012.7,Parking,1998,"Orlando, Florida",United States of America
Panther_parking_Adela,Panther,36012.7,Parking,2002,"Orlando, Florida",United States of America
Panther_parking_Lorriane,Panther,36012.7,Parking,2008,"Orlando, Florida",United States of America
Panther_parking_Alaina,Panther,36012.7,Parking,1997,"Orlando, Florida",United States of America
Panther_education_Zelda,Panther,7519.8,Education,2010,"Orlando, Florida",United States of America
Panther_education_Jerome,Panther,11974.0,Education,2009,"Orlando, Florida",United States of America
Panther_lodging_Drew,Panther,785.0,Lodging/residential,1988,"Orlando, Florida",United States of America
Panther_lodging_Anastasia,Panther,2272.0,Lodging/residential,1968,"Orlando, Florida",United States of America
Panther_retail_Jeanette,Panther,1162.7,Retail,1976,"Orlando, Florida",United States of America
Panther_education_Enriqueta,Panther,7084.5,Education,2007,"Orlando, Florida",United States of America
Panther_office_Lauretta,Panther,3366.8,Office,2010,"Orlando, Florida",United States of America
Panther_office_Patti,Panther,14503.2,Office,2001,"Orlando, Florida",United States of America
Panther_other_Ismael,Panther,364.0,Other,2008,"Orlando, Florida",United States of America
Panther_other_Bethel,Panther,281.0,Other,1979,"Orlando, Florida",United States of America
Panther_office_Brent,Panther,998.1,Office,1974,"Orlando, Florida",United States of America
Panther_other_Lula,Panther,192.3,Other,1996,"Orlando, Florida",United States of America
Panther_office_Hannah,Panther,375.1,Office,1986,"Orlando, Florida",United States of America
Panther_lodging_Else,Panther,3459.8,Lodging/residential,1981,"Orlando, Florida",United States of America
Panther_education_Janis,Panther,1015.6,Education,1986,"Orlando, Florida",United States of America
Panther_assembly_Carrol,Panther,595.7,Entertainment/public assembly,2006,"Orlando, Florida",United States of America
Panther_assembly_Gwyneth,Panther,7109.6,Entertainment/public assembly,2007,"Orlando, Florida",United States of America
Panther_education_Jarrett,Panther,249.4,Education,1968,"Orlando, Florida",United States of America
Panther_retail_Romeo,Panther,15027.5,Retail,1996,"Orlando, Florida",United States of America
Panther_lodging_Gale,Panther,5499.9,Lodging/residential,1999,"Orlando, Florida",United States of America
Panther_education_Emily,Panther,6326.1,Education,2003,"Orlando, Florida",United States of America
Panther_office_Lavinia,Panther,1001.4,Office,1970,"Orlando, Florida",United States of America
Panther_office_Clementine,Panther,3100.2,Office,1982,"Orlando, Florida",United States of America
Panther_education_Scarlett,Panther,2737.8,Education,1968,"Orlando, Florida",United States of America
Panther_lodging_Georgie,Panther,1221.8,Lodging/residential,1990,"Orlando, Florida",United States of America
Panther_lodging_Kara,Panther,18667.3,Lodging/residential,2006,"Orlando, Florida",United States of America
Panther_lodging_Kirk,Panther,18667.3,Lodging/residential,2006,"Orlando, Florida",United States of America
Panther_lodging_Cora,Panther,17433.0,Lodging/residential,2007,"Orlando, Florida",United States of America
Panther_lodging_Marisol,Panther,18667.3,Lodging/residential,2007,"Orlando, Florida",United States of America
Panther_office_Danica,Panther,210.0,Office,2016,"Orlando, Florida",United States of America
Panther_education_Joyce,Panther,7896.8,Education,1991,"Orlando, Florida",United States of America
Panther_lodging_Dianna,Panther,2272.0,Lodging/residential,1968,"Orlando, Florida",United States of America
Panther_office_Antonette,Panther,1752.2,Office,1986,"Orlando, Florida",United States of America
Panther_office_Christin,Panther,1474.9,Office,1983,"Orlando, Florida",United States of America
Panther_education_Cleopatra,Panther,2012.0,Education,2016,"Orlando, Florida",United States of America
Panther_office_Ruthie,Panther,4211.3,Office,2003,"Orlando, Florida",United States of America
Panther_lodging_Marlyn,Panther,950.4,Lodging/residential,1968,"Orlando, Florida",United States of America
Robin_education_Kiera,Robin,4703.0,Education,,"Greater London, England",United Kingdom
Robin_education_Della,Robin,499.3,Education,,"Greater London, England",United Kingdom
Robin_education_Lashandra,Robin,9061.0,Education,2005,"Greater London, England",United Kingdom
Robin_education_Megan,Robin,7579.0,Education,1913,"Greater London, England",United Kingdom
Robin_education_Mercedes,Robin,5295.0,Education,1953,"Greater London, England",United Kingdom
Robin_education_Audrea,Robin,2584.0,Education,2006,"Greater London, England",United Kingdom
Robin_education_Derrick,Robin,10994.0,Education,1909,"Greater London, England",United Kingdom
Robin_education_Karyl,Robin,2992.0,Education,,"Greater London, England",United Kingdom
Robin_education_Madeline,Robin,9335.0,Education,1958,"Greater London, England",United Kingdom
Robin_education_Leslie,Robin,12977.0,Education,1958,"Greater London, England",United Kingdom
Robin_education_So,Robin,12051.0,Education,1968,"Greater London, England",United Kingdom
Robin_education_Jasper,Robin,3462.0,Education,,"Greater London, England",United Kingdom
Robin_education_Cecilia,Robin,1439.0,Education,2004,"Greater London, England",United Kingdom
Robin_education_Julius,Robin,12850.0,Education,1960,"Greater London, England",United Kingdom
Robin_education_Margarito,Robin,8468.0,Education,2007,"Greater London, England",United Kingdom
Robin_education_Zenia,Robin,6337.0,Education,1976,"Greater London, England",United Kingdom
Robin_education_Derick,Robin,13965.0,Education,1906,"Greater London, England",United Kingdom
Robin_education_Terrance,Robin,7714.9,Education,1991,"Greater London, England",United Kingdom
Robin_education_Kristopher,Robin,5686.0,Education,1989,"Greater London, England",United Kingdom
Robin_education_Billi,Robin,3560.0,Education,1900,"Greater London, England",United Kingdom
Robin_education_Takako,Robin,1561.0,Education,1995,"Greater London, England",United Kingdom
Robin_education_Lizbeth,Robin,2001.0,Education,2004,"Greater London, England",United Kingdom
Robin_lodging_Donna,Robin,2515.0,Lodging/residential,,"Greater London, England",United Kingdom
Robin_lodging_Renea,Robin,9548.0,Lodging/residential,1956,"Greater London, England",United Kingdom
Robin_lodging_Elmer,Robin,9565.0,Lodging/residential,1968,"Greater London, England",United Kingdom
Robin_lodging_Dorthy,Robin,5842.9,Lodging/residential,1960,"Greater London, England",United Kingdom
Robin_lodging_Janie,Robin,6193.0,Lodging/residential,1930,"Greater London, England",United Kingdom
Robin_lodging_Celia,Robin,7721.0,Lodging/residential,1995,"Greater London, England",United Kingdom
Robin_lodging_Oliva,Robin,6013.0,Lodging/residential,1960,"Greater London, England",United Kingdom
Robin_lodging_Pricilla,Robin,4607.0,Lodging/residential,1998,"Greater London, England",United Kingdom
Robin_lodging_Phillip,Robin,6181.0,Lodging/residential,1967,"Greater London, England",United Kingdom
Robin_lodging_Armand,Robin,5246.0,Lodging/residential,1960,"Greater London, England",United Kingdom
Robin_assembly_Colleen,Robin,5948.0,Entertainment/public assembly,1967,"Greater London, England",United Kingdom
Robin_public_Carolina,Robin,10984.0,Public services,,"Greater London, England",United Kingdom
Robin_public_Cami,Robin,5261.0,Public services,1900,"Greater London, England",United Kingdom
Robin_office_Shirlene,Robin,4647.0,Office,,"Greater London, England",United Kingdom
Robin_office_Gayle,Robin,4161.0,Office,1919,"Greater London, England",United Kingdom
Robin_office_Dina,Robin,4213.0,Office,,"Greater London, England",United Kingdom
Robin_office_Victor,Robin,3724.0,Office,,"Greater London, England",United Kingdom
Robin_office_Lindsay,Robin,5358.0,Office,,"Greater London, England",United Kingdom
Robin_office_Adolph,Robin,1321.0,Office,,"Greater London, England",United Kingdom
Robin_office_Saul,Robin,2937.0,Office,1956,"Greater London, England",United Kingdom
Robin_office_Donald,Robin,7669.0,Office,1977,"Greater London, England",United Kingdom
Robin_office_Wai,Robin,16221.0,Office,1960,"Greater London, England",United Kingdom
Robin_office_Zelma,Robin,7607.0,Office,1960,"Greater London, England",United Kingdom
Robin_office_Antonina,Robin,6099.7,Office,1955,"Greater London, England",United Kingdom
Robin_office_Serena,Robin,2833.1,Office,1997,"Greater London, England",United Kingdom
Robin_office_Soledad,Robin,957.0,Office,1970,"Greater London, England",United Kingdom
Robin_office_Erma,Robin,4434.0,Office,1928,"Greater London, England",United Kingdom
Robin_office_Addie,Robin,1495.0,Office,1965,"Greater London, England",United Kingdom
Robin_office_Maryann,Robin,3201.0,Office,1907,"Greater London, England",United Kingdom
Robin_office_Sammie,Robin,4802.0,Office,1930,"Greater London, England",United Kingdom
Fox_public_Denny,Fox,4058.1,Public services,2007,"Tempe, Arizona",United States of America
Fox_office_Clayton,Fox,488.5,Office,,"Tempe, Arizona",United States of America
Fox_office_Susanne,Fox,941.6,Office,,"Tempe, Arizona",United States of America
Fox_education_Vernon,Fox,3825.7,Education,,"Tempe, Arizona",United States of America
Fox_education_Charles,Fox,909.3,Education,,"Tempe, Arizona",United States of America
Fox_assembly_Kathie,Fox,1466.6,Entertainment/public assembly,,"Tempe, Arizona",United States of America
Fox_education_Kendrick,Fox,1052.5,Education,,"Tempe, Arizona",United States of America
Fox_education_Delma,Fox,9181.5,Education,1968,"Tempe, Arizona",United States of America
Fox_education_Ollie,Fox,6698.5,Education,1970,"Tempe, Arizona",United States of America
Fox_warehouse_Pearl,Fox,1199.2,Warehouse/storage,1979,"Tempe, Arizona",United States of America
Fox_warehouse_Lorretta,Fox,360.2,Warehouse/storage,1975,"Tempe, Arizona",United States of America
Fox_lodging_Helen,Fox,51394.9,Lodging/residential,2009,"Tempe, Arizona",United States of America
Fox_lodging_Stephen,Fox,8019.7,Lodging/residential,1956,"Tempe, Arizona",United States of America
Fox_education_Andre,Fox,17044.0,Education,2005,"Tempe, Arizona",United States of America
Fox_education_Yolande,Fox,16681.6,Education,2006,"Tempe, Arizona",United States of America
Fox_retail_Manie,Fox,4201.4,Retail,1982,"Tempe, Arizona",United States of America
Fox_office_Essie,Fox,12244.3,Office,1968,"Tempe, Arizona",United States of America
Fox_office_Israel,Fox,11282.1,Office,1983,"Tempe, Arizona",United States of America
Fox_education_Rosie,Fox,8445.2,Education,,"Tempe, Arizona",United States of America
Fox_education_Tonya,Fox,8444.9,Education,,"Tempe, Arizona",United States of America
Fox_education_Nilda,Fox,10371.2,Education,1989,"Tempe, Arizona",United States of America
Fox_education_Kim,Fox,5782.1,Education,1970,"Tempe, Arizona",United States of America
Fox_assembly_Boyce,Fox,15520.9,Entertainment/public assembly,1989,"Tempe, Arizona",United States of America
Fox_office_Berniece,Fox,2173.2,Office,,"Tempe, Arizona",United States of America
Fox_food_Francesco,Fox,2310.2,Food sales and service,2012,"Tempe, Arizona",United States of America
Fox_education_Maris,Fox,2284.1,Education,,"Tempe, Arizona",United States of America
Fox_education_Elvira,Fox,13826.7,Education,2014,"Tempe, Arizona",United States of America
Fox_assembly_Jerrod,Fox,94.9,Entertainment/public assembly,,"Tempe, Arizona",United States of America
Fox_education_Leota,Fox,12311.3,Education,1992,"Tempe, Arizona",United States of America
Fox_education_Heriberto,Fox,3174.6,Education,,"Tempe, Arizona",United States of America
Fox_education_Miguelina,Fox,7831.7,Education,,"Tempe, Arizona",United States of America
Fox_education_Maureen,Fox,22757.9,Education,2008,"Tempe, Arizona",United States of America
Fox_religion_Maurice,Fox,151.3,Religious worship,1948,"Tempe, Arizona",United States of America
Fox_education_Sterling,Fox,4106.6,Education,1950,"Tempe, Arizona",United States of America
Fox_office_Margarita,Fox,2187.8,Office,1941,"Tempe, Arizona",United States of America
Fox_education_Elois,Fox,695.0,Education,1969,"Tempe, Arizona",United States of America
Fox_education_Geoffrey,Fox,12731.4,Education,1957,"Tempe, Arizona",United States of America
Fox_education_Gayla,Fox,7271.3,Education,1964,"Tempe, Arizona",United States of America
Fox_education_Gloria,Fox,14087.5,Education,1983,"Tempe, Arizona",United States of America
Fox_office_Molly,Fox,576.3,Office,1999,"Tempe, Arizona",United States of America
Fox_office_Demetrius,Fox,14463.3,Office,,"Tempe, Arizona",United States of America
Fox_office_Sheila,Fox,901.4,Office,1940,"Tempe, Arizona",United States of America
Fox_assembly_Cindy,Fox,3765.5,Entertainment/public assembly,,"Tempe, Arizona",United States of America
Fox_public_Rhonda,Fox,9555.6,Public services,,"Tempe, Arizona",United States of America
Fox_office_Yong,Fox,15232.3,Office,2004,"Tempe, Arizona",United States of America
Fox_parking_Tommie,Fox,37633.4,Parking,2004,"Tempe, Arizona",United States of America
Fox_assembly_Emma,Fox,13293.8,Entertainment/public assembly,1964,"Tempe, Arizona",United States of America
Fox_education_Wendell,Fox,20402.2,Education,1992,"Tempe, Arizona",United States of America
Fox_lodging_Alana,Fox,6938.2,Lodging/residential,2006,"Tempe, Arizona",United States of America
Fox_lodging_Wallace,Fox,5885.2,Lodging/residential,2007,"Tempe, Arizona",United States of America
Fox_lodging_Isabell,Fox,2875.3,Lodging/residential,1951,"Tempe, Arizona",United States of America
Fox_lodging_Winifred,Fox,5582.2,Lodging/residential,2001,"Tempe, Arizona",United States of America
Fox_public_Martin,Fox,32129.3,Public services,1966,"Tempe, Arizona",United States of America
Fox_public_Lauren,Fox,9262.4,Public services,,"Tempe, Arizona",United States of America
Fox_health_Lorena,Fox,3428.5,Healthcare,1934,"Tempe, Arizona",United States of America
Fox_education_Claude,Fox,17957.6,Education,2006,"Tempe, Arizona",United States of America
Fox_education_Jaclyn,Fox,6619.2,Education,2004,"Tempe, Arizona",United States of America
Fox_education_Etta,Fox,4497.5,Education,,"Tempe, Arizona",United States of America
Fox_education_Otilia,Fox,30403.1,Education,2012,"Tempe, Arizona",United States of America
Fox_education_Eldon,Fox,4613.7,Education,1964,"Tempe, Arizona",United States of America
Fox_education_Janina,Fox,8479.5,Education,1951,"Tempe, Arizona",United States of America
Fox_lodging_Stephan,Fox,3382.2,Lodging/residential,1940,"Tempe, Arizona",United States of America
Fox_education_Long,Fox,12733.7,Education,1964,"Tempe, Arizona",United States of America
Fox_education_Leona,Fox,26286.5,Education,2003,"Tempe, Arizona",United States of America
Fox_public_Belle,Fox,1524.6,Public services,,"Tempe, Arizona",United States of America
Fox_education_Dominique,Fox,8930.2,Education,1959,"Tempe, Arizona",United States of America
Fox_education_Theodore,Fox,11389.2,Education,1971,"Tempe, Arizona",United States of America
Fox_education_Melinda,Fox,18984.6,Education,1993,"Tempe, Arizona",United States of America
Fox_assembly_Audrey,Fox,1108.8,Entertainment/public assembly,1939,"Tempe, Arizona",United States of America
Fox_education_Willis,Fox,24265.1,Education,,"Tempe, Arizona",United States of America
Fox_education_Elizabeth,Fox,25295.4,Education,1955,"Tempe, Arizona",United States of America
Fox_lodging_Angla,Fox,20115.9,Lodging/residential,1967,"Tempe, Arizona",United States of America
Fox_office_Carson,Fox,6891.5,Office,1930,"Tempe, Arizona",United States of America
Fox_assembly_Cecelia,Fox,1591.6,Entertainment/public assembly,1918,"Tempe, Arizona",United States of America
Fox_lodging_Warren,Fox,4562.3,Lodging/residential,1951,"Tempe, Arizona",United States of America
Fox_education_Eddy,Fox,13015.0,Education,,"Tempe, Arizona",United States of America
Fox_education_Shawanda,Fox,960.1,Education,,"Tempe, Arizona",United States of America
Fox_education_Stacia,Fox,3134.5,Education,1939,"Tempe, Arizona",United States of America
Fox_assembly_Gary,Fox,2261.7,Entertainment/public assembly,1981,"Tempe, Arizona",United States of America
Fox_education_Rudolph,Fox,2335.5,Education,1970,"Tempe, Arizona",United States of America
Fox_education_Louie,Fox,16645.2,Education,1971,"Tempe, Arizona",United States of America
Fox_education_Ashli,Fox,864.8,Education,1970,"Tempe, Arizona",United States of America
Fox_assembly_Cathy,Fox,13386.0,Entertainment/public assembly,1989,"Tempe, Arizona",United States of America
Fox_public_Bart,Fox,9407.5,Public services,1982,"Tempe, Arizona",United States of America
Fox_office_Bernard,Fox,4182.2,Office,,"Tempe, Arizona",United States of America
Fox_lodging_Jina,Fox,9888.6,Lodging/residential,1963,"Tempe, Arizona",United States of America
Fox_lodging_Frances,Fox,10340.5,Lodging/residential,1964,"Tempe, Arizona",United States of America
Fox_assembly_Terrell,Fox,4830.9,Entertainment/public assembly,1974,"Tempe, Arizona",United States of America
Fox_parking_Lynelle,Fox,14596.3,Parking,1987,"Tempe, Arizona",United States of America
Fox_parking_Felipa,Fox,51767.1,Parking,2004,"Tempe, Arizona",United States of America
Fox_education_Dewayne,Fox,8892.4,Education,,"Tempe, Arizona",United States of America
Fox_education_Shirley,Fox,8220.6,Education,,"Tempe, Arizona",United States of America
Fox_office_Alice,Fox,18806.8,Office,1967,"Tempe, Arizona",United States of America
Fox_education_Marlana,Fox,5997.8,Education,1965,"Tempe, Arizona",United States of America
Fox_education_Melvin,Fox,2289.4,Education,1982,"Tempe, Arizona",United States of America
Fox_assembly_Renna,Fox,16671.4,Entertainment/public assembly,1976,"Tempe, Arizona",United States of America
Fox_education_Lilly,Fox,12236.3,Education,1991,"Tempe, Arizona",United States of America
Fox_education_Virginia,Fox,1186.7,Education,,"Tempe, Arizona",United States of America
Fox_education_Marcelina,Fox,400.8,Education,1907,"Tempe, Arizona",United States of America
Fox_education_Virgil,Fox,6123.0,Education,1964,"Tempe, Arizona",United States of America
Fox_assembly_Johnnie,Fox,23668.5,Entertainment/public assembly,1989,"Tempe, Arizona",United States of America
Fox_education_Suzan,Fox,4559.5,Education,1914,"Tempe, Arizona",United States of America
Fox_education_Lesley,Fox,1555.6,Education,,"Tempe, Arizona",United States of America
Fox_education_Burton,Fox,7028.1,Education,,"Tempe, Arizona",United States of America
Fox_education_Shaun,Fox,6616.9,Education,,"Tempe, Arizona",United States of America
Fox_education_Cynthia,Fox,7197.1,Education,,"Tempe, Arizona",United States of America
Fox_education_Jacqueline,Fox,11797.3,Education,1979,"Tempe, Arizona",United States of America
Fox_education_Tamika,Fox,8339.9,Education,,"Tempe, Arizona",United States of America
Fox_assembly_Leeanne,Fox,1932.8,Entertainment/public assembly,1999,"Tempe, Arizona",United States of America
Fox_education_Claire,Fox,8145.1,Education,1960,"Tempe, Arizona",United States of America
Fox_office_Edythe,Fox,7772.3,Office,1973,"Tempe, Arizona",United States of America
Fox_office_Thelma,Fox,11052.3,Office,1988,"Tempe, Arizona",United States of America
Fox_education_Kris,Fox,2837.5,Education,,"Tempe, Arizona",United States of America
Fox_assembly_Carlos,Fox,6706.9,Entertainment/public assembly,2013,"Tempe, Arizona",United States of America
Fox_assembly_Tony,Fox,7231.9,Entertainment/public assembly,,"Tempe, Arizona",United States of America
Fox_assembly_Bradley,Fox,75207.8,Entertainment/public assembly,1958,"Tempe, Arizona",United States of America
Fox_office_Easter,Fox,2766.5,Office,,"Tempe, Arizona",United States of America
Fox_education_Carleen,Fox,6635.2,Education,,"Tempe, Arizona",United States of America
Fox_education_Henrietta,Fox,425.8,Education,,"Tempe, Arizona",United States of America
Fox_office_Zachary,Fox,13038.5,Office,,"Tempe, Arizona",United States of America
Fox_office_Brandy,Fox,3921.8,Office,1985,"Tempe, Arizona",United States of America
Fox_office_Vicki,Fox,6580.5,Office,2014,"Tempe, Arizona",United States of America
Fox_office_Joy,Fox,6581.0,Office,2014,"Tempe, Arizona",United States of America
Fox_education_Ray,Fox,1185.5,Education,1909,"Tempe, Arizona",United States of America
Fox_office_Gaylord,Fox,13759.0,Office,,"Tempe, Arizona",United States of America
Fox_education_John,Fox,4587.9,Education,1967,"Tempe, Arizona",United States of America
Fox_assembly_Dixie,Fox,9801.7,Entertainment/public assembly,2008,"Tempe, Arizona",United States of America
Fox_food_Scott,Fox,2681.4,Food sales and service,,"Tempe, Arizona",United States of America
Fox_office_Juana,Fox,2671.0,Office,,"Tempe, Arizona",United States of America
Fox_assembly_Sheldon,Fox,4823.5,Entertainment/public assembly,,"Tempe, Arizona",United States of America
Fox_assembly_Adrianne,Fox,21391.8,Entertainment/public assembly,1975,"Tempe, Arizona",United States of America
Fox_utility_Marian,Fox,2040.0,Utility,,"Tempe, Arizona",United States of America
Fox_lodging_Morris,Fox,3051.0,Lodging/residential,1935,"Tempe, Arizona",United States of America
Fox_office_Rowena,Fox,3132.0,Office,1956,"Tempe, Arizona",United States of America
